Store Name,Network,Account Group,Unit 1,Building,Shop Number,Shipping Street,Shipping City,Region,Shipping Code
MENLYN PARK SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),CV6016,Menlyn Park,Shop 28,Menlyn Centre Atterbury Drive,Pretoria,GAU,0063
VAN DER WALT SPORTSCENE STREET TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6012,,Shop No 6,CNR Lilian Ngoyi & Madiba street,Pretoria,GAU,0002
GOLDFIELDS MALL SPORTSCENE TFG,SPORTSCENE,TFG,Cv6032,Goldsfield Mall,Shop 65/66,Cnr Stateway Bvld & Buiten Street,Welkom,FS,
EASTGATE SPORTSCENE TFG,SPORTSCENE,TFG,cv6034,"Eastgate Shopping Centre,",Shop U27,43 Bradford Road,Bedfordview,GAU,
TEMBISA BIRCH ACRES MALL SPORTSCENE TFG,SPORTSCENE,TFG,cv6010,Birch Acres Mall,Shop 40,Andrew Mapheto Drive,Tembisa,GAU,
RUSTENBURG PLAZA SPORTSCENE TFG,SPORTSCENE,TFG,Cv6031,Rustenburg Plaza,Shop 12 - 13,Cnr President Mbeki & Fatima Bhayat Street,Rustenburg,NW,
POLOKWANE CENTRAL SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6023,,Shop 5,Corner Landros Marea and Grobler,Polokwane,GAU,
KATHU MALL TELKOM MIG,TELKOM,MIGARDA,Cv5411,Kathu VIllage Mall,Shop 52,cnr Hendrick van Eck and Deben Road,Kathu,NC,8446
GRAHAMSTOWN TELKOM MOT,TELKOM,MOTIVITY,Cv6000,Peppergrove Mall,Shop 10,African Street,Grahamstown,EC,
ATLAS MALL TELKOM BTR,TELKOM,BLUETECH (BTR),cv6029,Atlas Mall,Shop 9,Corner Finch Street and Reier Road,"Atlasville, Boksburg",GAU,1459
OTTERY CENTRE VODACOM CHATZ LAROLI,CHATZ,LAROLI,cv672,Ottery Centre,Shop L11,"New Ottery Road,","Ottery, Cape Town,",WC,7841
TYGERVALLEY MALL MAPP,N/A,MALL MAPP AFRICA,POP003,Tygervalley Mall,,"Corner of Bill Bezuidenhout Ave, Willie Van Schoor Dr","Bellville Park, Cape Town,",WC,7530
VICTORIA WHARF VODACOM TRRC,VODACOM,THE REAL REPAIR COMPANY,cv5782,"Victoria Wharf Shopping Centre, V&A Waterfront",Kiosk P1,"19 Dock Road,",Cape Town,WC,8001
MIDDESTAD MALL TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),Kiosk,Middestad Mall,,15 Jan vlok street,Bloemfontein,FS,
CONSTANTIA VILLAGE VODACOM TRRC,VODACOM,THE REAL REPAIR COMPANY,cv5763,"Constantia Village,","Shop 22B,","Constantia Main Road & Spaanschemat River Roads,",Cape Town,WC,
BETHAL MALL TELKOM 3BH,TELKOM,THREE BATAUNG HOLDINGS,Cv5775,Bethal Mall,"Shop 7A,","70 m² - Corner (N17), Moses Kotane & Kerk street",Bethal,NW,2309
MALL OF AFRICA WeFix,WeFIX,WeFIX,Cv5085,"Mall of Africa,",Shop 1067,"Magwa Cres,","Waterval City, Midrand",GAU,1686
GARDENS SHOPPING CENTRE VODACOM TRRC,VODACOM,THE REAL REPAIR COMPANY,cv5773,Gardens Shopping Centre,Shop 36a,Mill Street,Gardens,WC,
SOUTHGATE MALL SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),cv6014,Southgate Mall,Shop L161/L162,corner rifle range and columbine road,Southgate,GAU,
PARYS TELKOM MOT,TELKOM,MOTIVITY,cv6002,Palmgate Centre,Shop 8,Cnr Buiten & Philip Street,Parys,FS,
MAPONYA MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV088,Maponya Mall,Shop 274,Chris Hani Road,"Klipspruit, Soweto",GAU,1804
SECUNDA MALL TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV089,Secunda Mall,Shop UG 24,"PDP Kruger St, Secunda",Secunda,MP,2302
MENLYN MALL MAPP AFRICA,N/A,MALL MAPP AFRICA,POP004,Menlyn Shopping Centre,"Entrance 1, Opposite GAME Liquors",Atterbury Road & Lois Avenue,"Menlyn, Pretoria",GAU,0063
INNER CITY MR PRICE,MR PRICE,MRP GROUP,PV087,Inner Court,"Shop O0005 & O103, Inner Court Cnr Kerk & Eloff Street, JHB, 2193",Cnr Kerk & Eloff Street,Johannesburg,GAU,2193
CRESTA WeFix,WeFIX,WeFIX,cv5083,Cresta Shopping Centre,Shop U51,Weltevreden Road,"Randburg, Cresta",GAU,2118
FLAGSTAFF TELKOM MOT,TELKOM,MOTIVITY,cv5598,Flagstaff Square,Shop No 31,Erf 260,Flagstaff Township,EC,
CRESTA INFO DESK MALL MAPP,N/A,MALL MAPP AFRICA,POP005,Cresta Mall,Entrance 4 Information Desk,cnr Beyers Naude Drive & Weltevreden Road,Randburg,GAU,2194
OK CENTRE UITENAGE TELKOM TOW,TELKOM,TOW,cv5594,OK Grocery Centre,,108 Market Street,"Kariege, Uitenhage",EC,6229
ROCKERFELLER HOTEL,N/A,REINARD KORF,ys003,Rockerfeller Hotel,,"12 Christiaan Barnard Street, Foreshore",Cape Town,WC,8000
QUEENS CORNER TELKOM BTR POP-UP,TELKOM,BLUETECH (BTR),CV5788,Queen Corner,9b,1166 Soutpansberg Road,"Queenswood, Pretoria",GAU,
ACORNHOEK MALL MTN UNLIMITED MOBILE,MTN,UNLIMITED MOBILE,CV5264,Acornhoek Mall,Shop 28,R40 and Green Valley Road,"Greenvalley, Acornhoek",MP,1360
FLEURDAL TELKOM BTR,TELKOM,BLUETECH (BTR),cv5716,Fleurdal Mall,"Entrance 3, Milady’s on your left",Vereeniging Drive,"Fleurdal, Bloemfontein",FS,9301
HAYFIELDS MALL TELKOM BRV,TELKOM,BRAVO SAT,CV6004,Hayfields Mall,Shop 28,28 Blackburrow Road,Pietermaritzburg,KZN,3317
CANALWALK TOTALSPORTS TFG,TOTALSPORTS,THE FOSCHINI GROUP (TFG),PV090,Canal walk Shopping Centre,Shop B Lapiazza Ground Level,Century Boulevard,Century City,WC,7441
ELIM MTN CONNECTA MOBILE,MTN,CONNECTA MOBILE,cv5791,Elim Mall,,Giyani & Levubu Road,Elim,LP,
SESHEGO CIRCLE MALL MTN CM,MTN,CONNECTA MOBILE,cv5784,Seshego Circle Mall,,Helen Joseph Street,Seshego EXT 4,LP,0742
THEMBALETHU SQUARE TELKOM FEATHERCOM,TELKOM,FEATHERCOM,cv5770,Thembalethu Square,Shop 3A,Corner of Sandkraal and Ngcakani Road,"Thembalethu, George",WC,6530
GOODWOOD MALL TELKOM FTC,TELKOM,FEATHERCOM,cv5680,Goodwood Mall,Kiosk 2,CNR Voortrekker and McDonald Street,"Goodwood, Cape Town",WC,7460
DUNOON TELKOM FEATHERCOM,TELKOM,FEATHERCOM,Cv5714,Roma Centre,Shop 10,Dunoon Racing Park,Cape Town,WC,7441
GAANSBAAI TELKOM FEATHERCOM,TELKOM,FEATHERCOM,Cv5785,SUPERSPAR GAANSBAAI,,45 MAIN RD,GANSBAAI,WC,7220
SASOLBURG TELKOM MOT,TELKOM,MOTIVITY,cv5729,Sasolburg Mall,,Fichardt Street,Sasolburg,GAU,1947
MORNINGSIDE TELKOM TSS,TELKOM,TSS,cv6028,Morningside Shopping Centre,,Cnr Rivonia and Outspan Road,Sandton,GAU,
PAARL EAST TELKOM FEATHERCOM,TELKOM,FEATHERCOM,cv5771,"Paarl East Shopping Centre,","Shop 5,",Corner of V/D Stel Road & Broadway Street,Paarl East,WC,
V&A WATERFRONT TELKOM FEATHERCOM,TELKOM,FEATHERCOM,cv5370,V&A Waterfornt (Victoria & Alfred Wharf),139A,Breakwater Blvd,Cape Town,WC,8001
ZEVENWACHT TELKOM FEATHERCOM,TELKOM,FEATHERCOM,Cv5363,Shop 204 zevenwach mall,,C/o polkadraai and Van Riebeeck road,Kuilsrivier,WC,7580
MOSSEL BAY TELKOM FEATHERCOM,TELKOM,FEATHERCOM,Cv5767,Mossel Bay Mall,Centre Court 2,Corner Louis Fourie and Melkhout Street,"Heiderand, Mossel Bay,",WC,6511
JEFFERY'S BAY TELKOM MOT,TELKOM,MOTIVITY,cv6027,"Equinox Mall,",Shop 6A,59 St Francis Street,Jeffreys Bay,EC,
PIER 14 SHOPPING CENTRE TELKOM MOT,TELKOM,MOTIVITY,cv6026,Pier 14 Shopping Centre,Shop 11,444 Govan Mbeki Avenue,"North End,PE",EC,
MEYERSDAL MALL VODACOM ALM,VODACOM,ALM,cv320,Meyersdal mall,Shop 6,Corner Michelle avenue & Hennie Alberts street,Meyersdale,GAU,
KLOOF VILLAGE VODACOM CHATZ PC,CHATZ,PEARL CORAL,TBC,,,,Durban,KZN,
MITCHELLS PLEIN MR PRICE,MR PRICE,MRP GROUP,pv,Promenade Mall,Shop 64,Berman Street,Mitchells Plain,GAU,7785
VANGATE MALL MR PRICE,MR PRICE,MRP GROUP,pv,Vangate Mall,Shop 45,Jakes Gerwel Drive,Athlone,WC,
MARSHALLTOWN LIVE EASY,N/A,LIVE EASY,YS001,,,20 Anderson Street,"Marshaltown, Johannesburg",GAU,2001
ALBERTON MILPARK,MTN,NETCARE,TBC,,,,Alberton,GAU,
MALUTI CRESCENT MTN ARLAN COMM,MTN,ARLAN COMM,cv5792,Maluti Crescent Shopping Centre,Shop 125,cnr Parliament & Motebang Road,Phuthadithaba,FS,9869
