Store Name,Network,Account Group,Unit 1,Building,Shop Number,Shipping Street,Shipping City,Region,Shipping Code
KING WILLIAMS TOWN DUNNS STH,DUNNS.,STH,cv5243,Fleet Street Building,Shop 1 & 2,Cnr Fleet & Bank Street,King William's Town,EC,5601
MOOIRIVER DUNNS STH,DUNNS.,STH,cv5682,,Shop 8,Cnr Lawrence & Market Street,Mooi River,KZN,3300
MILPARK NETCARE CLINIC SECTION 11,N/A,NETCARE,pv0002,Milpark Clinic,Section 11,9 Guild Road,Parktown West,GAU,
MILPARK NETCARE CLINIC SECTION 10,MILPARK,NETCARE,pv0001,Milpark Netcare Clinic,Section 10,9 Guild Road,Parktown West,GAU,
KENILWORTH MR PRICE,MR PRICE,MRP GROUP,pv015,Kenilworth Sanlam Centre,Shop 47,1 Donchester Road and South Lane,Rondebosch,WC,
CENTURION HO VODA ALM,VODACOM,ALISOM,cv383,Head Office,,420 Theuns van Niekerk Street,"Wierdapark,Centurion",GAU,0157
AMALINDA SQUARE VODACOM TIEKAMS,VODACOM,TIEKAMS,cv5613,Amalinda Square,Shop 2,Amalinda Main Road,"Amalinda, East London",EC,5201
NONQUBELA MALL KHAYELITSHA DUNNS STH,DUNNS.,STH,cv5145,Nonqubela Mall,Shop 34 & 36A,Sulani Drive,Khayelisha,WC,7784
HILLCREST BOULEVARD MTN CNW,MTN,CELL NETWORK,cv5604,Hillcrest Boulevard Centre,Shop 29,361 Lynnwood Road,"Hatfield, Pretoria",GAU,0083
CARLETONVILLE VODA CHATZ HIC,VODACOM,CHADEZ,cv5338,Pick and Pay Centre,Shop 6,C/O Osmun & Radium Street,Carletonville,GAU,
LONGBEACH MALL MTN CNW,MTN,CELL NETWORK,cv067,Longbeach Mall,Shop G57A,Cnr Buller Louw and Sunny Dale Road,Noordhoek,WC,
MARIKANA DUNNS STH,DUNNS.,STH,cv5478,Rainbow Village,Shop 3,Main Road,Marikana,NW,0284
KIMBERLEY TELKOM TOW,TELKOM,TOW,cv588,Diamond Pavilion Mall,Shop 13,Corner Oliver & Macdougal Street,Kimberley,NC,
SABIE MTN CELLZONE,MTN,CELLZONE.,cv5475,Old Telkom Building,Shop 6,Trichardt Street,Sabie,MP,1260
